Designator,Mid X,Mid Y,Layer,Rotation
C6,113.87,-119.7,top,0
C7,116.45,-120.15,top,0
C8,114.6,-122.875,top,90
C9,117.2,-122.95,top,90
D1,128.25,-126.52,top,270
D2,122.8,-117.72,top,90
L1,129.25,-114.42,top,0
Q1,115.6,-128.6,top,270
R1,124.75,-117.35,top,180
R2,115.61,-125.95,top,180
R3,124.3,-129.62,top,270
R4,124.75,-119.55,top,270
R5,121.3,-119.25,top,270
R6,122.8,-120.1,top,180
R7,121.5,-129.62,top,270
R8,122.9,-129.62,top,270
U1,117.05,-103.92,top,180
U2,115.4,-114.85,top,90
U3,123.6,-124.6,top,270
